ID,NLLB_Output,NLLB_SelfBackTrans_English,NLLB_SelfScore_English,NLLB_SelfBackTrans_Swedish,NLLB_SelfScore_Swedish,NLLB_SelfBackTrans_Turkish,NLLB_SelfScore_Turkish,NLLB_SelfBackTrans_French,NLLB_SelfScore_French,NLLB_SelfBackTrans_German,NLLB_SelfScore_German,NLLB_SelfBackTrans_Russian,NLLB_SelfScore_Russian,NLLB_SelfBackTrans_Polish,NLLB_SelfScore_Polish,NLLB_SelfBackTrans_Hungarian,NLLB_SelfScore_Hungarian,NLLB_SelfBackTrans_Italian,NLLB_SelfScore_Italian,NLLB_SelfBackTrans_Albanian,NLLB_SelfScore_Albanian,NLLB_SelfBackTrans_Chinese,NLLB_SelfScore_Chinese,NLLB_SelfBackTrans_Japanese,NLLB_SelfScore_Japanese,NLLB_SelfBackTrans_Arabic,NLLB_SelfScore_Arabic,NLLB_SelfBackTrans_Hebrew,NLLB_SelfScore_Hebrew,NLLB_SelfBackTrans_Hindi,NLLB_SelfScore_Hindi,NLLB_SelfBackTrans_Swahili,NLLB_SelfScore_Swahili
1,Εμείς τελειώσαμε τις σπουδές μας.,Έχουμε τελειώσει τις σπουδές μας.,0,Έχουμε ολοκληρώσει τις σπουδές μας.,0,Τελειώσαμε την εκπαίδευσή μας.,0,Τελειώσαμε τις σπουδές μας.,0,Έχουμε ολοκληρώσει τις σπουδές μας.,0,Τελειώσαμε τις σπουδές μας.,0,Τελειώσαμε το πανεπιστήμιο.,0,Τελειώσαμε τις σπουδές μας.,0,Τελειώσαμε τις σπουδές μας.,0,Συνεχίσαμε τις σπουδές μας.,0,Τελειώσαμε τις σπουδές μας.,0,Τελειώσαμε τις σπουδές μας.,0,Τελειώσαμε το σχολείο.,0,Τελειώσαμε τις σπουδές μας.,0,Τελειώσαμε την εκπαίδευσή μας.,0,Έχουμε ολοκληρώσει τις σπουδές μας.,0
2,Έβαλαν τα χείλη και τα νύχια και έβαλαν τις φούστες.,Ζωγράφισαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Έβαλαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες.,0,Έβαλαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Έβαλαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Έβαλαν τα χείλη και τα νύχια τους και έβαλαν τις φούστες τους.,0,Έβαλαν χείλη και νύχια και φόρεσαν φούστες.,0,Έβαλαν χρώμα στα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Έβαλαν χείλη και νύχια και φόρεσαν τις στολές τους.,0,Έβαλαν μέικ-απ στα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Έβγαζαν τα χείλη και τα δάχτυλά τους και φορούσαν τα μπουφάν τους.,0,Οι γυναίκες μεταμορφώνονται σε μαύρες και φορούν παντελόνια.,0,Έβαλαν κραγιόν και μανικιούρ και φορούσαν φούστες.,0,"Φορούσαν κραγιόν, μανικιέρες και φούστες.",0,Είχαν βάψει τα χείλη και τα νύχια τους και φορούσαν φούστες.,0,Έβαλαν χρώματα στα χείλη και τα νύχια τους και φορούσαν φούστες.,0,Χρωστούσαν τα χείλη και τα νύχια τους και φορούσαν φούστες.,0
3,Θα ταξιδέψουν μαζί στη Γαλλία.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα πάνε μαζί στη Γαλλία.,0,Θα πάνε μαζί στη Γαλλία.,0,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Θα πάνε μαζί στη Γαλλία.,0,Θα πάνε μαζί στη Γαλλία.,0,Θα ταξιδέψουν μαζί στη Γαλλία.,1
4,Υπερασπίστηκαν το έργο τους με πάθος.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Υπερασπίστηκαν το έργο τους με πάθος.,1,Υπερασπίστηκαν με πάθος τα σχέδιά τους.,0,Υπερασπίστηκαν το έργο τους με πάθος.,1,Υπερασπίστηκαν το έργο τους με πάθος.,1,Υπερασπίστηκαν το έργο τους με πάθος.,1,Υπερασπίστηκαν το πρότζεκτ τους με πάθος.,0,Υπερασπίστηκαν με πάθος το πρότζεκτ τους.,0,Υπερασπίστηκαν το σχέδιό τους με πάθος.,0,Υπερασπίζονται το πρότζεκτ τους με πάθος.,0,Οι γυναίκες υπερασπίστηκαν με ζήλο το πρόγραμμά τους.,0,Οι γυναίκες υπερασπίστηκαν το έργο με πάθος.,0,Υπερασπίστηκαν το έργο τους με πάθος.,1,Υπερασπίστηκαν το πρότζεκτ τους με πάθος.,0,Υπερασπίστηκε το έργο του με ζήλο.,0,Προστάτευσαν με πάθος το έργο τους.,0
5,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Αποφάσισαν να δημιουργήσουν τη δική τους επιχείρηση.,0,Αποφάσισαν να ιδρύσουν τη δική τους επιχείρηση.,0,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Αποφάσισαν να ξεκινήσουν τη δική τους εταιρεία.,0,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Έτσι αποφάσισαν να ξεκινήσουν τη δική τους εταιρεία.,0,Αποφάσισαν να ξεκινήσουν τη δική τους εταιρεία.,0,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Αποφάσισε να ξεκινήσει τη δική του επιχείρηση.,0,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1
6,Αποφοίτησαν με τιμές.,Αποφοίτησαν με διακρίσεις.,0,Αποφοίτησαν με διακρίσεις.,0,Αποφοίτησαν με διαπρεπείς τίτλους.,0,Αποφοίτησαν με διακρίσεις.,0,Αποφοίτησαν με βραβεία.,0,Τελείωσαν με αριστούργημα.,0,Αποφοίτησαν με διακρίσεις.,0,Τελείωσαν με διακρίσεις.,0,Αποφοίτησαν με άριστα.,0,Αποφοίτησαν με αριστούργημα.,0,Οι μαθήτριες αποφοίτησαν με εξαιρετικά αποτελέσματα.,0,Αποφοίτησαν με εξαιρετικά αποτελέσματα.,0,Αποφοίτησαν με αριστούργημα.,0,Τελείωσαν με αριστούργημα.,0,Αποφοίτησε με τιμές.,0,Αποφοίτησαν με τιμή.,0
7,Έχουν υπογράψει το συμβόλαιο χθες.,Υπέγραψαν το συμβόλαιο χθες.,0,Η συμφωνία υπογράφηκε χθες.,0,Υπέγραψαν το συμβόλαιο χθες.,0,Υπέγραψαν το συμβόλαιο χθες.,0,Υπογράψατε το συμβόλαιο χθες.,0,Υπέγραψαν το συμβόλαιο χθες.,0,Υπέγραψαν το συμβόλαιο χθες.,0,Το συμβόλαιο υπογράφηκε χθες.,0,Υπέγραψαν το συμβόλαιο χθες.,0,Υπέγραψαν το συμβόλαιο χθες.,0,Χθες υπέγραψαν συμβόλαιο.,0,Χθες υπέγραψαν το συμβόλαιο.,0,Υπογράψαμε το συμβόλαιο χθες.,0,Υπέγραψαν το συμβόλαιο χθες.,0,Χθες υπέγραψαν το συμβόλαιο.,0,Υπέγραψαν το συμβόλαιο χθες.,0
8,Η πρόταση εγκρίθηκε ομόφωνα.,Ενέκριναν ομόφωνα την πρόταση.,0,Η πρόταση εγκρίθηκε ομόφωνα.,1,Η πρόταση εγκρίθηκε ομόφωνα.,1,Η πρόταση εγκρίθηκε ομόφωνα.,1,Η πρόταση εγκρίθηκε ομόφωνα.,1,Ενέκριναν ομόφωνα την πρόταση.,0,Η πρόταση εγκρίθηκε ομόφωνα.,1,Η πρόταση εγκρίθηκε ομόφωνα.,1,Η πρόταση εγκρίθηκε ομόφωνα.,1,Η πρόταση εγκρίθηκε ομόφωνα.,1,Συμφώνησαν ομόφωνα να υιοθετήσουν το ψήφισμα.,0,Οι γυναίκες ενέκριναν ομόφωνα την πρόταση.,0,Συμφώνησαν ομόφωνα.,0,Συμφώνησαν ομόφωνα.,0,Ενέκρινε ομόφωνα το ψήφισμα.,0,Συμμετείχαν στην έγκριση μιας πρότασης.,0
9,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτοί οι άνθρωποι ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Αυτές οι γυναίκες επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0
10,Αυτοί οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,Αυτοί οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,1,Αυτοί οι δημοσιογράφοι ανέφεραν από την περιοχή του πολέμου.,0,Αυτοί οι δημοσιογράφοι ανέφεραν από την περιοχή του πολέμου.,0,Αυτοί οι δημοσιογράφοι ανέφεραν από την περιοχή του πολέμου.,0,Αυτές οι δημοσιογράφοι ανέφεραν από την περιοχή του πολέμου.,0,Αυτές οι δημοσιογράφοι ανέφεραν από την περιοχή των μαχών.,0,Αυτές οι δημοσιογράφοι έκαναν αναφορά από την εμπόλεμη ζώνη.,0,Αυτοί οι δημοσιογράφοι ανέφεραν από την περιοχή του πολέμου.,0,Αυτές οι δημοσιογράφοι ανέφεραν από την περιοχή του πολέμου.,0,Αυτοί οι δημοσιογράφοι ανέφεραν από την περιοχή του πολέμου.,0,Οι δημοσιογράφοι ανέφεραν τα γεγονότα από την περιοχή του πολέμου.,0,Αυτοί οι δημοσιογράφοι ανέφεραν από το πεδίο της μάχης.,0,Αυτές οι δημοσιογράφοι έφυγαν από μια ζώνη πολέμου.,0,Αυτές οι δημοσιογράφοι ανέφεραν από την περιοχή του πολέμου.,0,Αυτές οι γυναίκες δημοσιογράφοι ανέφεραν από το πεδίο του πολέμου.,0,Οι δημοσιογράφοι έδιναν αναφορές από την περιοχή του πολέμου.,0
