ID,Source_Greek,Gender_Bias_Focus,Category,Gold_Spanish,MT_Output,Gender_Bias,Justification,Pivot_Score_English,Pivot_Score_Swedish,Pivot_Score_Turkish,Pivot_Score_French,Pivot_Score_German,Pivot_Score_Russian,Pivot_Score_Polish,Pivot_Score_Hungarian,Pivot_Score_Italian,Pivot_Score_Albanian,Pivot_Score_Chinese,Pivot_Score_Japanese,Pivot_Score_Arabic,Pivot_Score_Hebrew,Pivot_Score_Hindi,Pivot_Score_Swahili
1,Αυτές έρχονται από την Ελλάδα.,Αυτές / Autés (fem. pl.),Personal Pronouns,Ellas vienen de Grecia.,Estas vienen de Grecia.,,Demonstrative pronoun change: 'Ellas' → 'Estas'; loss of explicit feminine subject 'Ellas' (fem.); feminine gender preserved,,,,,,,,,,,,,,,,
2,Εκείνες δούλευαν μαζί στην ίδια εταιρεία.,Εκείνες / Ekeínes (fem. pl.),Personal Pronouns,Aquellas trabajaban juntas en la misma empresa.,Esas trabajaban juntas en la misma empresa.,,Demonstrative pronoun change: 'Aquellas' → 'Esas'; loss of explicit feminine subject 'Aquellas' (fem.); feminine gender preserved,,,,,,,,,,,,,,,,
3,Αυτές οργάνωσαν το συνέδριο με επιτυχία.,Αυτές / Autés (fem. pl.),Personal Pronouns,Ellas organizaron la conferencia con éxito.,Estas organizaron la conferencia con éxito.,,Demonstrative pronoun change: 'Ellas' → 'Estas'; loss of explicit feminine subject 'Ellas' (fem.); feminine gender preserved,,,,,,,,,,,,,,,,
4,Εκείνες μίλησαν για την κλιματική αλλαγή.,Εκείνες / Ekeínes (fem. pl.),Personal Pronouns,Aquellas hablaron sobre el cambio climático.,Esas hablaron sobre el cambio climático.,,Demonstrative pronoun change: 'Aquellas' → 'Esas'; loss of explicit feminine subject 'Aquellas' (fem.); feminine gender preserved,,,,,,,,,,,,,,,,
5,Αυτή εδώ είναι η καλύτερη μηχανικός.,"Αυτή, η μηχανικός / This engineer (fem.)",Demonstrative Pronouns,Esta de aquí es la mejor ingeniera.,Esta es la mejor ingeniera.,,Structural simplification; feminine gender preserved,,,,,,,,,,,,,,,,
6,Εκείνη εκεί είναι η διευθύντρια του τμήματος.,"Εκείνη, η διευθύντρια / That director (fem.)",Demonstrative Pronouns,Aquella de allí es la directora del departamento.,Esa es la directora del departamento.,,Gender change: 'directora' (fem.) → 'director' (masc.),,,,,,,,,,,,,,,,
7,Αυτές εδώ είναι οι νέες προγραμματίστριες.,"Αυτές, οι προγραμματίστριες / These programmers (fem.)",Demonstrative Pronouns,Estas de aquí son las nuevas programadoras.,Estas son las nuevas programadoras.,,Structural simplification; feminine gender preserved,,,,,,,,,,,,,,,,
8,Εκείνες εκεί πέρα είναι οι ερευνήτριες.,"Εκείνες, οι ερευνήτριες / Those researchers (fem.)",Demonstrative Pronouns,Aquellas de allá son las investigadoras.,Aquellas de allí son las investigadoras.,,Deictic change: 'de allá' → 'de allí'; feminine gender preserved,,,,,,,,,,,,,,,,
9,Η καθηγήτρια δίδαξε το μάθημα με ενθουσιασμό.,Η καθηγήτρια / The teacher (fem.),Articles,La profesora enseñó la lección con entusiasmo.,La profesora impartió la clase con entusiasmo.,,Gender change: 'profesora' (fem.) → 'profesor' (masc.); lexical change: 'lección' → 'clase'; lexical change: 'enseñó' → 'impartió',,,,,,,,,,,,,,,,
10,Οι δικηγόροι υπερασπίστηκαν την υπόθεση.,Οι δικηγόροι / The lawyers (fem. context),Articles,Las abogadas defendieron el caso.,Los abogados defendieron el caso.,1.0,Gender change: 'abogadas' (fem.) → 'abogados' (masc.); article gender change: 'Las abogadas' (fem.) → 'Los abogados' (masc.),,,,,,,,,,,,,,,,
