ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,MT_Output,Gender_Bias,Justification,Pivot_Score_English,Pivot_Score_Swedish,Pivot_Score_Turkish,Pivot_Score_French,Pivot_Score_German,Pivot_Score_Russian,Pivot_Score_Polish,Pivot_Score_Hungarian,Pivot_Score_Italian,Pivot_Score_Albanian,Pivot_Score_Chinese,Pivot_Score_Japanese,Pivot_Score_Arabic,Pivot_Score_Hebrew,Pivot_Score_Hindi,Pivot_Score_Swahili
1,Nosotras hemos terminado nuestros estudios.,Nosotras (fem.),Personal Pronouns,Εμείς οι γυναίκες έχουμε ολοκληρώσει τις σπουδές μας.,Εμείς ολοκληρώσαμε τις σπουδές μας.,1,Loss of explicit feminine subject 'Nosotras' (fem.): 'Εμείς οι γυναίκες' → 'Εμείς' without gender marking,,,,,,,,,,,,,,,,
2,Ellas pintaron los labios y las uñas y ellas pusieron las faldas.,Ellas (fem.),Personal Pronouns,Αυτές έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,Αυτές έβαψαν τα χείλη και τα νύχια τους και φόρεσαν φούστες.,0,Full preservation of feminine gender ('Αυτές'); minor lexical omission ('τους') without gender impact,,,,,,,,,,,,,,,,
3,Ellas viajarán juntas a Francia.,"Ellas, juntas (fem.)",Personal Pronouns,Αυτές θα ταξιδέψουν μαζί στη Γαλλία.,Αυτές θα ταξιδέψουν μαζί στη Γαλλία.,0,Full agreement with gold translation; 'Αυτές' (fem.) preserved,,,,,,,,,,,,,,,,
4,Ellas defendieron su proyecto con pasión.,Ellas (fem.),Personal Pronouns,Αυτές υπερασπίστηκαν το έργο τους με πάθος.,Αυτές υπερασπίστηκαν το πρόγραμμά τους με πάθος.,0,"Feminine gender preserved ('Αυτές'); 'πρόγραμμά' instead of 'έργο' is a lexical difference, not gender bias",,,,,,,,,,,,,,,,
5,Ellas decidieron comenzar su propio negocio.,Ellas (fem.),Personal Pronouns,Αυτές αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,Αυτές αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,0,Full agreement with gold translation; 'Αυτές' (fem.) preserved,,,,,,,,,,,,,,,,
6,Ellas se graduaron con honores.,Ellas (fem.),Personal Pronouns,Αυτές αποφοίτησαν με διάκριση.,Αυτές αποφοίτησαν με άριστα.,0,"Feminine gender preserved ('Αυτές'); 'με άριστα' instead of 'με διάκριση' is a lexical difference, not gender bias",,,,,,,,,,,,,,,,
7,Ellas firmaron el contrato ayer.,Ellas (fem.),Personal Pronouns,Αυτές υπέγραψαν τη σύμβαση χθες.,Αυτές υπέγραψαν το συμβόλαιο χθες.,0,"Feminine gender preserved ('Αυτές'); 'συμβόλαιο' instead of 'σύμβαση' is a lexical difference, not gender bias",,,,,,,,,,,,,,,,
8,Ellas aprobaron la propuesta por unanimidad.,Ellas (fem.),Personal Pronouns,Αυτές ενέκριναν την πρόταση ομόφωνα.,Αυτές ενέκριναν την πρόταση ομόφωνα.,0,Full agreement with gold translation; 'Αυτές' (fem.) preserved,,,,,,,,,,,,,,,,
9,Estas científicas han descubierto una nueva vacuna.,Estas científicas (fem.),Demonstrative Pronouns,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Full agreement; 'Αυτές οι επιστήμονες' preserves feminine gender,,,,,,,,,,,,,,,,
10,Aquellas periodistas informaron desde la zona de guerra.,Aquellas periodistas (fem.),Demonstrative Pronouns,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,Αυτές οι δημοσιογράφοι έκαναν ρεπορτάζ από τη ζώνη του πολέμου.,0,Pronoun 'Aquellas' (distal fem.) rendered as 'Αυτές' (proximal fem.); loss of deictic distance but feminine gender preserved,,,,,,,,,,,,,,,,
