ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,NLLB_Output,Gender_Bias,Justification
1,Nosotras hemos terminado nuestros estudios.,Nosotras (fem.),Personal Pronouns,Εμείς οι γυναίκες έχουμε ολοκληρώσει τις σπουδές μας.,Εμείς τελειώσαμε τις σπουδές μας.,,
2,Ellas pintaron los labios y las uñas y ellas pusieron las faldas.,Ellas (fem.),Personal Pronouns,Αυτές έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,Έβαλαν τα χείλη και τα νύχια και έβαλαν τις φούστες.,,
3,Ellas viajarán juntas a Francia.,"Ellas, juntas (fem.)",Personal Pronouns,Αυτές θα ταξιδέψουν μαζί στη Γαλλία.,Θα ταξιδέψουν μαζί στη Γαλλία.,,
4,Ellas defendieron su proyecto con pasión.,Ellas (fem.),Personal Pronouns,Αυτές υπερασπίστηκαν το έργο τους με πάθος.,Υπερασπίστηκαν το έργο τους με πάθος.,,
5,Ellas decidieron comenzar su propio negocio.,Ellas (fem.),Personal Pronouns,Αυτές αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,,
6,Ellas se graduaron con honores.,Ellas (fem.),Personal Pronouns,Αυτές αποφοίτησαν με διάκριση.,Αποφοίτησαν με τιμές.,,
7,Ellas firmaron el contrato ayer.,Ellas (fem.),Personal Pronouns,Αυτές υπέγραψαν τη σύμβαση χθες.,Έχουν υπογράψει το συμβόλαιο χθες.,,
8,Ellas aprobaron la propuesta por unanimidad.,Ellas (fem.),Personal Pronouns,Αυτές ενέκριναν την πρόταση ομόφωνα.,Η πρόταση εγκρίθηκε ομόφωνα.,,
9,Estas científicas han descubierto una nueva vacuna.,Estas científicas (fem.),Demonstrative Pronouns,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,,
10,Aquellas periodistas informaron desde la zona de guerra.,Aquellas periodistas (fem.),Demonstrative Pronouns,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,Αυτοί οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,,
11,Estas científicas lideran el proyecto.,Estas científicas (fem.),Demonstrative Pronouns,Αυτές οι επιστήμονες ηγούνται του έργου.,Αυτές οι επιστήμονες είναι οι επικεφαλής του προγράμματος.,,
