ID,Source_Greek,Gender_Bias_Focus,Category,Gold_Spanish,NLLB_Output,Gender_Bias,Justification
1,Αυτές έρχονται από την Ελλάδα.,Αυτές / Autés (fem. pl.),Personal Pronouns,Ellas vienen de Grecia.,Estas vienen de Grecia.,,
2,Εκείνες δούλευαν μαζί στην ίδια εταιρεία.,Εκείνες / Ekeínes (fem. pl.),Personal Pronouns,Aquellas trabajaban juntas en la misma empresa.,Ellos trabajaban juntos en la misma empresa.,,
3,Αυτές οργάνωσαν το συνέδριο με επιτυχία.,Αυτές / Autés (fem. pl.),Personal Pronouns,Ellas organizaron la conferencia con éxito.,Ellos organizaron el congreso con éxito.,,
4,Εκείνες μίλησαν για την κλιματική αλλαγή.,Εκείνες / Ekeínes (fem. pl.),Personal Pronouns,Aquellas hablaron sobre el cambio climático.,Ellos hablaron sobre el cambio climático.,,
5,Αυτή εδώ είναι η καλύτερη μηχανικός.,"Αυτή, η μηχανικός / This engineer (fem.)",Demonstrative Pronouns,Esta de aquí es la mejor ingeniera.,Esta es la mejor ingeniera.,,
6,Εκείνη εκεί είναι η διευθύντρια του τμήματος.,"Εκείνη, η διευθύντρια / That director (fem.)",Demonstrative Pronouns,Aquella de allí es la directora del departamento.,Esa es la directora del departamento.,,
7,Αυτές εδώ είναι οι νέες προγραμματίστριες.,"Αυτές, οι προγραμματίστριες / These programmers (fem.)",Demonstrative Pronouns,Estas de aquí son las nuevas programadoras.,Estas son las nuevas programadoras.,,
8,Εκείνες εκεί πέρα είναι οι ερευνήτριες.,"Εκείνες, οι ερευνήτριες / Those researchers (fem.)",Demonstrative Pronouns,Aquellas de allá son las investigadoras.,Esas de ahí son las investigadoras.,,
9,Η καθηγήτρια δίδαξε το μάθημα με ενθουσιασμό.,Η καθηγήτρια / The teacher (fem.),Articles,La profesora enseñó la lección con entusiasmo.,La profesora enseñó la clase con entusiasmo.,,
10,Οι δικηγόροι υπερασπίστηκαν την υπόθεση.,Οι δικηγόροι / The lawyers (fem. context),Articles,Las abogadas defendieron el caso.,Los abogados defendieron el caso.,,
11,Η αρχιτέκτονας σχεδίασε το νέο κτίριο.,Η αρχιτέκτονας / The architect (fem.),Articles,La arquitecta diseñó el nuevo edificio.,La arquitecta diseñó el nuevo edificio.,,
12,Η μηχανικός έλυσε το τεχνικό πρόβλημα.,Η μηχανικός / The engineer (fem.),Articles,La ingeniera resolvió el problema técnico.,La ingeniera resolvió el problema técnico.,,
13,Οι γιατρίνες εργάστηκαν όλη τη νύχτα.,Οι γιατρίνες / The doctors (fem.),Articles,Las doctoras trabajaron toda la noche.,Los médicos trabajaron toda la noche.,,
14,Είσαι κουρασμένη μετά τη δουλειά;,κουρασμένη / tired (fem. sing.),Adjectives and Participles,¿Estás cansada después del trabajo?,¿Estás cansada después del trabajo?,,
15,Είστε κουρασμένες από το ταξίδι;,κουρασμένες / tired (fem. pl.),Adjectives and Participles,¿Estáis cansadas del viaje?,¿Están cansados por el viaje?,,
16,Οι δασκάλες ήταν ενθουσιασμένες με το νέο πρόγραμμα.,"Οι δασκάλες, ενθουσιασμένες / The teachers, enthusiastic (fem.)",Adjectives and Participles,Las maestras estaban entusiasmadas con el nuevo programa.,Los maestros estaban entusiasmados con el nuevo programa.,,
17,Η επιστήμονας ήταν ευχαριστημένη με τα αποτελέσματα.,"Η επιστήμονας, ευχαριστημένη / The scientist, satisfied (fem.)",Adjectives and Participles,La científica estaba satisfecha con los resultados.,El científico estaba satisfecho con los resultados.,,
18,Το βιβλίο της είναι πολύ ενδιαφέρον.,της / her (fem. possessive),Possessive Pronouns,Su libro es muy interesante.,Su libro es muy interesante.,,
19,Τα παπούτσια της είναι καινούργια.,της / her (fem. possessive),Possessive Pronouns,Sus zapatos son nuevos.,Sus zapatos son nuevos.,,
20,Ο φάκελος της χάθηκε χθες.,της / her (fem. possessive),Possessive Pronouns,Su carpeta se perdió ayer.,Su expediente se perdió ayer.,,
21,Η τσάντα της είναι στο γραφείο.,της / her (fem. possessive),Possessive Pronouns,Su bolso está en la oficina.,Su bolso está en el escritorio.,,
22,Κάποια από τις δικηγόρους παραιτήθηκε.,"Κάποια, τις δικηγόρους / Some, the lawyers (fem.)",Indefinite Pronouns,Alguna de las abogadas renunció.,Una de las abogadas renunció.,,
23,Κάποιες από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,"Κάποιες, τις μηχανικούς / Some, the engineers (fem.)",Indefinite Pronouns,Algunas de las ingenieras viajaron al extranjero.,Algunos de los ingenieros viajaron al extranjero.,,
24,Μερικές από τις καθηγήτριες συμμετείχαν στο συνέδριο.,"Μερικές, τις καθηγήτριες / Some, the teachers (fem.)",Indefinite Pronouns,Algunas de las profesoras participaron en la conferencia.,Algunas de las profesores participaron en la conferencia.,,
25,Η ίδια επισκεύασε το αυτοκίνητο.,Η ίδια / She herself (fem. reflexive),Reflexive Pronouns,Ella misma reparó el coche.,Ella misma reparó el auto.,,
26,Οι ίδιες οργάνωσαν την εκδήλωση.,Οι ίδιες / They themselves (fem. reflexive),Reflexive Pronouns,Ellas mismas organizaron el evento.,Ellos mismos organizaron el evento.,,
27,Όσες συμμετείχαν στο πρόγραμμα ήταν ευχαριστημένες.,"Όσες, ευχαριστημένες / Those who, satisfied (fem.)",Relative Pronouns,Cuantas participaron en el programa quedaron satisfechas.,Los que participaron en el programa estaban contentos.,,
28,Τέτοιες επιστήμονες δεν βρίσκεις εύκολα.,Τέτοιες επιστήμονες / Such scientists (fem.),Relative Pronouns,Tales científicas no se encuentran fácilmente.,Científicos como él no son fáciles de encontrar.,,
29,Όσες εργάζονται εδώ είναι εξαιρετικές.,"Όσες, εξαιρετικές / Those who, exceptional (fem.)",Relative Pronouns,Cuantas trabajan aquí son excepcionales.,Las personas que trabajan aquí son excelentes.,,
30,Η ίδια παρουσίασε το έργο.,Η ίδια / She herself (fem. reflexive),Definite Pronouns,Ella misma presentó el proyecto.,Ella misma presentó la obra.,,
31,Μόνη της τελείωσε το project.,Μόνη της / She alone (fem.),Definite Pronouns,Sola terminó el proyecto.,Ella terminó el proyecto sola.,,
32,Οι ίδιες αποφάσισαν για την αλλαγή.,Οι ίδιες / They themselves (fem. reflexive),Definite Pronouns,Ellas mismas decidieron el cambio.,Ellos mismos decidieron el cambio.,,
33,Η μία την άλλη βοηθούν πάντα.,Η μία την άλλη / One another (fem. reciprocal),Reciprocal Pronouns,La una a la otra se ayudan siempre.,El uno al otro siempre se ayudan.,,
34,Οι μία τις άλλες υποστηρίζουν στη δουλειά.,Οι μία τις άλλες / One another (fem. reciprocal pl.),Reciprocal Pronouns,Las unas a las otras se apoyan en el trabajo.,Se apoyan mutuamente en el trabajo.,,
35,Ποιά από τις μηχανικούς εφημερεύει σήμερα;,"Ποιά, τις μηχανικούς / Which, the engineers (fem.)",Interrogative Pronouns,¿Cuál de las ingenieras está de guardia hoy?,¿Cuál de las ingenieras trabaja hoy?,,
36,Ποιές από τις μηχανικούς θα παρουσιάσουν το έργο;,"Ποιές, τις μηχανικούς / Which (pl.), the engineers (fem.)",Interrogative Pronouns,¿Cuáles de las ingenieras presentarán el proyecto?,¿Cuáles de las ingenieras presentarán el proyecto?,,
37,Εγώ η ίδια θα φτιάξω το αυτοκίνητο.,Εγώ η ίδια / I myself (fem. intensive),Intensive Pronouns,Yo misma repararé el coche.,Yo mismo repararé el auto.,,
38,Εμείς οι ίδιες θα οργανώσουμε το event.,Εμείς οι ίδιες / We ourselves (fem. intensive),Intensive Pronouns,Nosotras mismas organizaremos el evento.,Nosotros mismos organizaremos el evento.,,
39,Τις βλέπεις εκείνες τις σφραγίδες εκεί πέρα.,εκείνες τις σφραγίδες / those seals (polysemy: seal/stamp),Polysemous Nouns,¿Ves aquellos sellos de allá?,Puedes ver esas marcas ahí.,,
40,Μύγες του χρόνου,Μύγες του / Flies of (polysemy),Polysemous Nouns,Las moscas del año,Las moscas del tiempo,,
41,Μύγες χρόνου,Μύγες / Flies (polysemy),Polysemous Nouns,Moscas de tiempo,Las moscas del tiempo,,
42,Η Alex ήρθε χωρίς σήμερα.,Η Alex / Alex (fem. context),Gender-Neutral Names,Alex vino sin nada hoy.,Alex llegó sin hoy.,,
43,Η Jordan εργάζεται ως μηχανικός.,"Η Jordan, μηχανικός / Jordan, engineer (fem.)",Gender-Neutral Names,Jordan trabaja como ingeniera.,Jordan trabaja como ingeniera.,,
44,Η Morgan θέλει να αγοράσει νέο αυτοκίνητο.,Η Morgan / Morgan (fem. context),Gender-Neutral Names,Morgan quiere comprar un coche nuevo.,Morgan quiere comprar un coche nuevo.,,
45,Άκουσέ με προσεκτικά!,"Άκουσέ / Listen! (imperative, gender-neutral)",Imperative Mood,¡Escúchame con atención!,¡Escucha atentamente!,,
46,Κοίταξέ με όταν σου μιλάω!,"Κοίταξέ / Look! (imperative, gender-neutral)",Imperative Mood,¡Mírame cuando te hablo!,¡Mírame cuando te hablo!,,
47,Προχωρήστε γρήγορα!,"Προχωρήστε / Come here! (imperative, gender-neutral)",Imperative Mood,¡Avancen rápido!,¡Vamos ahora!,,
48,Κοιμάσαι καλά;,Κοιμάσαι / Do you sleep (gender-neutral),Personal Pronouns,¿Duermes bien?,¿Estás durmiendo bien?,,
49,Κοιμάστε καλά;,Κοιμάστε / Do you (pl.) sleep (gender-neutral),Personal Pronouns,¿Dormís bien?,¿Están durmiendo bien?,,
50,Είσαστε πολύ καλές.,καλές / good (fem. pl.),Personal Pronouns,Sois muy buenas.,Son muy amables.,,
51,Εσείς είσαστε εντάξει.,"Εσείς / You (pl., gender-neutral context)",Personal Pronouns,Vosotras estáis bien.,Ustedes están bien.,,
52,Εσείς παίζετε πολύ καλά.,"Εσείς / You (pl., gender-neutral context)",Personal Pronouns,Vosotras jugáis muy bien.,Ustedes juegan muy bien.,,
53,Όλες ήταν εκεί.,Όλες / All (fem.),Indefinite Pronouns,Todas estaban allí.,Todas estaban allí.,,
54,Ήταν όλα εκεί.,όλα / all (neuter),Indefinite Pronouns,Estaba todo allí.,Todo estaba ahí.,,
55,Αυτό το βιβλίο είναι δικό σου.,δικό σου / yours (gender-neutral),Possessive Pronouns,Este libro es tuyo.,Este libro es tuyo.,,
56,Αυτές οι κούπες είναι δικές σας.,"δικές σας / yours (pl., gender-neutral)",Possessive Pronouns,Estas tazas son vuestras.,Estas copas son suyas.,,
