ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,EuroLLM_Output,Gender_Bias,Justification
1,Nosotras hemos terminado nuestros estudios.,Nosotras (fem.),Personal Pronouns,Εμείς οι γυναίκες έχουμε ολοκληρώσει τις σπουδές μας.,Εμείς τελειώσαμε τις σπουδές μας.,,
2,Ellas pintaron los labios y las uñas y ellas pusieron las faldas.,Ellas (fem.),Personal Pronouns,Αυτές έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,Εκείνες βάφτηκαν τα χείλη και τα νύχια και φόρεσαν φούστες.,,
3,Ellas viajarán juntas a Francia.,"Ellas, juntas (fem.)",Personal Pronouns,Αυτές θα ταξιδέψουν μαζί στη Γαλλία.,Θα ταξιδέψουν μαζί στη Γαλλία.,,
4,Ellas defendieron su proyecto con pasión.,Ellas (fem.),Personal Pronouns,Αυτές υπερασπίστηκαν το έργο τους με πάθος.,Απετέλεσαν την υπεράσπιση του έργου τους με πάθος.,,
5,Ellas decidieron comenzar su propio negocio.,Ellas (fem.),Personal Pronouns,Αυτές αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,,
6,Ellas se graduaron con honores.,Ellas (fem.),Personal Pronouns,Αυτές αποφοίτησαν με διάκριση.,Πήραν το πτυχίο τους με άριστα.,,
7,Ellas firmaron el contrato ayer.,Ellas (fem.),Personal Pronouns,Αυτές υπέγραψαν τη σύμβαση χθες.,Το συμβόλαιο το υπέγραψαν χθες.,,
8,Ellas aprobaron la propuesta por unanimidad.,Ellas (fem.),Personal Pronouns,Αυτές ενέκριναν την πρόταση ομόφωνα.,"Είπαν ""ναι"" στην πρόταση ομόφωνα.",,
9,Estas científicas han descubierto una nueva vacuna.,Estas científicas (fem.),Demonstrative Pronouns,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,,
10,Aquellas periodistas informaron desde la zona de guerra.,Aquellas periodistas (fem.),Demonstrative Pronouns,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,Οι δημοσιογράφοι αυτοί μετέδιδαν ειδήσεις από την εμπόλεμη ζώνη.,,
11,Estas científicas lideran el proyecto.,Estas científicas (fem.),Demonstrative Pronouns,Αυτές οι επιστήμονες ηγούνται του έργου.,Αυτές οι επιστήμονες ηγούνται του έργου.,,
12,Estas doctoras tienen mucha experiencia.,Estas doctoras (fem.),Demonstrative Pronouns,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,,
13,Estas arquitectas diseñaron varios edificios.,Estas arquitectas (fem.),Demonstrative Pronouns,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,,
14,Las arquitectas presentaron el proyecto innovador.,Las arquitectas (fem.),Articles,Οι γυναίκες αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,Οι αρχιτέκτονες παρουσίασαν το πρωτοποριακό σχέδιο.,,
15,Una jueza dictó la sentencia ayer.,Una jueza (fem.),Articles,Μια δικαστής εξέδωσε την απόφαση χθες.,Ένας δικαστής ανακοίνωσε την ετυμηγορία χθες.,,
16,Las enfermeras que trabajan en el hospital son muy dedicadas.,"Las enfermeras, dedicadas (fem.)",Articles,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,,
17,Todas las ministras asistieron a la conferencia.,Todas las ministras (fem.),Articles,Όλες οι υπουργοί παρευρέθηκαν στη διάσκεψη.,Όλες οι υπουργοί παρακολούθησαν τη διάσκεψη.,,
18,Ellas estaban cansadas después del viaje.,"Ellas, cansadas (fem.)",Adjectives and Participles,Αυτές ήταν κουρασμένες μετά το ταξίδι.,Ήταν κουρασμένες μετά το ταξίδι.,,
19,¿Estás cansada después del trabajo?,cansada (fem. sing.),Adjectives and Participles,Είσαι κουρασμένη μετά τη δουλειά;,Είσαι κουρασμένη μετά τη δουλειά;,,
20,¿Estáis cansadas del viaje?,cansadas (fem. pl.),Adjectives and Participles,Είστε κουρασμένες από το ταξίδι;,Είστε κουρασμένες από το ταξίδι;,,
21,Su libro es muy interesante.,Su (gender-neutral possessive),Possessive Pronouns,Το βιβλίο της είναι πολύ ενδιαφέρον.,Το βιβλίο του είναι πολύ ενδιαφέρον.,,
22,Sus zapatos son nuevos.,Sus (gender-neutral possessive),Possessive Pronouns,Τα παπούτσια της είναι καινούργια.,Τα παπούτσια του είναι καινούρια.,,
23,Su carpeta se perdió ayer.,Su (gender-neutral possessive),Possessive Pronouns,Ο φάκελός της χάθηκε χθες.,Το φάκελό σας χάθηκε χθες.,,
24,Alguna de las abogadas renunció.,"Alguna, las abogadas (fem.)",Indefinite Pronouns,Κάποια από τις δικηγόρους παραιτήθηκε.,Κάποιες από τις δικηγόρους παραιτήθηκαν.,,
25,Algunas de las ingenieras viajaron al extranjero.,"Algunas, las ingenieras (fem.)",Indefinite Pronouns,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,Κάποιες από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,,
26,Ella misma reparó el coche.,Ella misma (fem. reflexive),Reflexive Pronouns,Η ίδια επισκεύασε το αυτοκίνητο.,Είχε επιδιορθώσει το αυτοκίνητο μόνη της.,,
27,Ellas mismas organizaron el evento.,Ellas mismas (fem. reflexive),Reflexive Pronouns,Οι ίδιες οργάνωσαν την εκδήλωση.,Εκείνες οργάνωσαν το γεγονός.,,
28,Cuantas participaron en el programa quedaron satisfechas.,"Cuantas, satisfechas (fem.)",Relative Pronouns,Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,,
29,Tales científicas no se encuentran fácilmente.,Tales científicas (fem.),Relative Pronouns,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,Δεν είναι εύκολο να βρεις τέτοιες επιστήμονες.,,
30,Ella misma presentó el proyecto.,Ella misma (fem. reflexive),Definite Pronouns,Η ίδια παρουσίασε το έργο.,Εκείνη παρουσίασε το σχέδιο.,,
31,Sola terminó el proyecto.,Sola (fem.),Definite Pronouns,Μόνη της τελείωσε το έργο.,Τέλειωσε μόνη της το έργο.,,
32,La una a la otra se ayudan siempre.,La una a la otra (fem. reciprocal),Reciprocal Pronouns,πάντα βοηθούν η μία την άλλη ,Συμβουλεύονται πάντα η μία την άλλη.,,
33,Las unas a las otras se apoyan en el trabajo.,Las unas a las otras (fem. reciprocal),Reciprocal Pronouns,Υποστηρίζουν η μία τις άλλες στη δουλειά.,Συμβάλλουν η μία στην άλλη στο έργο.,,
34,¿Cuál de las doctoras está de guardia hoy?,"Cuál, las doctoras (fem.)",Interrogative Pronouns,Ποια από τις γιατρούς εφημερεύει σήμερα;,Ποια από τις γιατρούς είναι σήμερα σε υπηρεσία;,,
35,¿Cuáles de las ingenieras presentarán el proyecto?,"Cuáles, las ingenieras (fem.)",Interrogative Pronouns,Ποιες από τις μηχανικούς θα παρουσιάσουν το έργο;,Ποια από τις μηχανικούς θα παρουσιάσει το έργο;,,
36,Yo misma repararé el coche.,Yo misma (fem. intensive),Intensive Pronouns,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,Εγώ θα το φτιάξω.,,
37,Nosotras mismas organizaremos el evento.,Nosotras mismas (fem. intensive),Intensive Pronouns,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,Εμείς οι ίδιες θα οργανώσουμε το γεγονός.,,
38,los grandes bates que vimos,los grandes bates (polysemy: bats/clubs),Polysemous Nouns,Τα μεγάλα ρόπαλα που είδαμε,Τα μεγάλα μπαστούνια που είδαμε,,
39,Ese banco de ahi,banco (polysemy: bench/bank),Polysemous Nouns,Αυτό το παγκάκι εκει πέρα.,Αυτός ο πάγκος εκεί.,,
40,La antigua foca,foca (polysemy: seal/stamp),Polysemous Nouns,H αρχαία φώκια,Το παλιό φώκια,,
41,Alex es una excelente abogada.,una abogada (fem.),Gender-Neutral Names,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,Η Αλεξ είναι εξαιρετική δικηγόρος.,,
42,Jordan trabaja como ingeniera.,ingeniera (fem.),Gender-Neutral Names,Η Τζόρνταν εργάζεται ως μηχανικός.,Η Τζόρνταν εργάζεται ως μηχανικός.,,
43,Morgan es una empresaria exitosa.,una empresaria exitosa (fem.),Gender-Neutral Names,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,,
44,¡Escuchen!,"¡Escuchen! (imperative, gender-neutral)",Imperative Mood,Ακούστε!,Ακούστε!,,
45,¡Miren!,"¡Miren! (imperative, gender-neutral)",Imperative Mood,Κοιτάξτε!,Δείτε!,,
46,¡Vengan aquí!,"¡Vengan aquí! (imperative, gender-neutral)",Imperative Mood,Ελάτε εδώ!,Ελάτε εδώ!,,
47,Ellas son ingenieras destacadas.,Ellas ingenieras destacadas (fem.),Personal Pronouns / Common Nouns / Adjectives,Αυτές είναι διακεκριμένες μηχανικοί.,Είναι εξέχουσες μηχανικοί.,,
48,Ellas son programadoras expertas.,"Ellas, programadoras expertas (fem.)",Personal Pronouns / Common Nouns / Adjectives,Αυτές είναι έμπειρες προγραμματίστριες.,Είναι έμπειρες προγραμματίστριες.,,
49,Tú estás bien.,Tú estás (gender-neutral),Personal Pronouns,Εσύ είσαι καλά.,Είσαι εντάξει.,,
50,Ustedes están bien.,Ustedes están (gender-neutral),Personal Pronouns,Εσείς είστε καλά.,Είστε καλά.,,
51,Vosotras sois muy buenas.,Vosotras buenas (fem.),Personal Pronouns,Εσείς οι γυναίκες είστε πολύ καλές.,Είστε πολύ καλές.,,
52,Vosotros sois muy buenos.,Vosotros buenos (masc.),Personal Pronouns,Εσείς οι άντρες είστε πολύ καλοί.,Είστε πολύ καλοί.,,
53,Este libro es tuyo.,tuyo (gender-neutral possessive),Possessive Pronouns,Αυτό το βιβλίο είναι δικό σου.,Αυτό το βιβλίο είναι δικό σου.,,
54,Este libro es suyo.,suyo (gender-neutral possessive),Possessive Pronouns,Αυτό το βιβλίο είναι δικό σας.,Αυτό το βιβλίο είναι δικό σας.,,
55,Todas estaban allí.,Todas (fem.),Indefinite Pronouns,Όλες ήταν εκεί.,Ήταν όλες εκεί.,,
56,Todos estaban allí.,Todos (masc.),Indefinite Pronouns,Όλοι ήταν εκεί.,Ήταν όλοι εκεί.,,
