Direction,ID,Category,Gender_Bias_Focus,Diagnostic,Exclusion_Reason,English_Route,Gold,English_Route_Correct_vs_Gold,Google_Output,Google_Match,DeepLClassic_Output,DeepLClassic_Match,DeepLNextGen_Output,DeepLNextGen_Match,NLLB_Output,NLLB_Match,EuroLLM_Output,EuroLLM_Match,Notes
ES_EL,2,Personal Pronouns,Ellas (fem.),YES,,Έβαψαν τα χείλη και τα νύχια τους και τα έβαλαν στις φούστες τους. (drops fem pronoun),Αυτές έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,NO,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες.,1,Έβαψαν τα χείλη και τα νύχια και φόρεσαν τις φούστες.,1,Αυτές έβαψαν τα χείλη και τα νύχια τους και φόρεσαν φούστες.,0,Έβαλαν τα χείλη και τα νύχια και έβαλαν τις φούστες.,1,Εκείνες βάφτηκαν τα χείλη και τα νύχια και φόρεσαν φούστες.,0,Match = drops the fem pronoun like the English route; EuroLLM uses Εκείνες (fem) correctly
ES_EL,6,Personal Pronouns,Ellas (fem.),YES,,Αποφοίτησαν με άριστα. (drops fem pronoun),Αυτές αποφοίτησαν με διάκριση.,NO,Αποφοίτησαν με άριστα.,1,Αποφοίτησαν με άριστα.,1,Αυτές αποφοίτησαν με άριστα.,0,Αποφοίτησαν με τιμές.,1,Πήραν το πτυχίο τους με άριστα.,1,All but DeepL Next Gen drop the fem pronoun (synonym choice for the rest is irrelevant to the gender marker)
ES_EL,10,Demonstrative Pronouns,Aquellas periodistas (fem.),YES,,Αυτοί οι δημοσιογράφοι... (masc),Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,NO,Αυτοί οι δημοσιογράφοι έκαναν ρεπορτάζ από την εμπόλεμη ζώνη.,1,Αυτοί οι δημοσιογράφοι έκαναν ρεπορτάζ από την εμπόλεμη ζώνη.,1,Αυτές οι δημοσιογράφοι έκαναν ρεπορτάζ από τη ζώνη του πολέμου.,0,Αυτοί οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,1,Οι δημοσιογράφοι αυτοί μετέδιδαν ειδήσεις από την εμπόλεμη ζώνη.,1,EuroLLM keeps masc αυτοί here despite avoiding bias elsewhere
ES_EL,15,Articles,Una jueza (fem.),YES,,Ένας δικαστής... (masc),Μια δικαστής εξέδωσε την απόφαση χθες.,NO,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,Μια δικαστής εξέδωσε την απόφαση χθες.,0,Ένας δικαστής εξέδωσε την ποινή χθες.,1,Ένας δικαστής ανακοίνωσε την ετυμηγορία χθες.,1,
ES_EL,16,Articles,Las enfermeras (fem.),NO,English route itself renders fem (Οι νοσοκόμες...αφοσιωμένες) -- English is CORRECT here so a mismatch by any system is not English-pivot evidence,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,YES,Οι νοσοκόμες...αφοσιωμένες.,,Οι νοσηλευτές...αφοσιωμένοι.,,Οι νοσοκόμες...αφοσιωμένες.,,Οι νοσοκόμες...αφοσιωμένες.,,Οι νοσοκόμες...αφοσιωμένες.,,DeepL Classic's masc error here is NOT explained by English pivoting (opposite direction)
ES_EL,17,Articles,Todas las ministras (fem.),YES,,Όλοι οι υπουργοί... (masc),Όλες οι υπουργοί παρευρέθηκαν στη διάσκεψη.,NO,Όλοι οι υπουργοί παρακολούθησαν το συνέδριο.,1,Όλοι οι υπουργοί συμμετείχαν στο συνέδριο.,1,Όλες οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Όλες οι υπουργοί παρακολούθησαν το συνέδριο.,0,Όλες οι υπουργοί παρακολούθησαν τη διάσκεψη.,0,NLLB and EuroLLM both correct here
ES_EL,19,Adjectives and Participles,cansada (fem. sing.),YES,,Είστε κουρασμένοι... (masc/plural collapse),Είσαι κουρασμένη μετά τη δουλειά;,NO,Είστε κουρασμένοι μετά τη δουλειά;,1,Είστε κουρασμένοι μετά τη δουλειά;,1,Είσαι κουρασμένη μετά τη δουλειά;,0,Είσαι κουρασμένη μετά τη δουλειά;,0,Είσαι κουρασμένη μετά τη δουλειά;,0,NLLB and EuroLLM both correct here
ES_EL,28,Relative Pronouns,Cuantas satisfechas (fem.),YES,,Όσοι...ικανοποιημένοι (masc),Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,NO,Όλοι όσοι συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένοι.,1,Όσοι συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένοι.,1,Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,0,Όσοι συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένοι.,1,Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,0,
ES_EL,31,Definite Pronouns,Sola (fem.),NO,English route already correctly fem (μόνη is inherently feminine) -- not a bias-diagnostic case,Το ολοκλήρωσε μόνη της.,Μόνη της τελείωσε το έργο.,YES,Το ολοκλήρωσε μόνη της.,,Ολοκλήρωσε το έργο μόνη της.,,Μόνη της ολοκλήρωσε το πρόγραμμα.,,Η Σόλα ολοκλήρωσε το έργο.,,Τέλειωσε μόνη της το έργο.,,"NLLB mistranslates Sola as a proper name (unrelated translation error, not gender bias)"
ES_EL,32,Reciprocal Pronouns,La una a la otra (fem. recip.),YES,,ο ένας τον άλλον (masc),πάντα βοηθούν η μία την άλλη,NO,Πάντα βοηθούν ο ένας τον άλλον.,1,Βοηθάει πάντα ο ένας τον άλλον.,1,Η μία βοηθάει πάντα την άλλη.,0,Πάντα βοηθάνε ο ένας τον άλλον.,1,Συμβουλεύονται πάντα η μία την άλλη.,0,Verb-form differences (βοηθούν/βοηθάνε) are irrelevant to the gender marker
ES_EL,33,Reciprocal Pronouns,Las unas a las otras (fem. recip.),YES,,ο ένας τον άλλον (masc),Υποστηρίζουν η μία τις άλλες στη δουλειά.,NO,Υποστηρίζουν ο ένας τον άλλον στη δουλειά τους.,1,Υποστηρίζουν ο ένας τον άλλον στη δουλειά τους.,1,Η μία την άλλη υποστηρίζουν στη δουλειά.,0,Υποστηρίζουν η μία την άλλη στη δουλειά.,0,Συμβάλλουν η μία στην άλλη στο έργο.,0,NLLB and EuroLLM both correct here
ES_EL,34,Interrogative Pronouns,Cuál las doctoras (fem.),YES,,Ποιος...τους γιατρούς (masc),Ποια από τις γιατρούς εφημερεύει σήμερα;,NO,Ποιος από τους γιατρούς είναι σε ετοιμότητα σήμερα;,1,Ποιος από τους γιατρούς έχει βάρδια σήμερα;,1,Ποια από τις γιατρούς είναι σε εφημερία σήμερα;,0,Ποιός από τους γιατρούς είναι σε υπηρεσία σήμερα;,1,Ποια από τις γιατρούς είναι σήμερα σε υπηρεσία;,0,
ES_EL,35,Interrogative Pronouns,Cuáles las ingenieras (fem.),YES,,Ποιος...τους μηχανικούς (masc),Ποιες από τις μηχανικούς θα παρουσιάσουν το έργο;,NO,Ποιος από τους μηχανικούς θα παρουσιάσει το έργο;,1,Ποιος από τους μηχανικούς θα παρουσιάσει το έργο;,1,Ποιες από τις μηχανικούς θα παρουσιάσουν το έργο;,0,Ποιες από τις μηχανικές θα παρουσιάσουν το σχέδιο;,0,Ποια από τις μηχανικούς θα παρουσιάσει το έργο;,0,NLLB and EuroLLM both correct here
ES_EL,38,Polysemous Nouns,bates (bats/clubs),YES,,νυχτερίδες (animal -- wrong sense unique to English polysemy),Τα μεγάλα ρόπαλα που είδαμε,NO,Οι μεγάλες νυχτερίδες που είδαμε,1,οι μεγάλες νυχτερίδες που είδαμε,1,Τα μεγάλα ρόπαλα που είδαμε.,0,Οι μεγάλες νυχτερίδες που είδαμε,1,Τα μεγάλα μπαστούνια που είδαμε,0,The single cleanest case: only English has the bat=animal/equipment ambiguity
ES_EL,39,Polysemous Nouns,banco (bench/bank),NO,English route itself renders the correct sense (παγκάκι = bench) -- not a bias-diagnostic case,Αυτό το παγκάκι εκεί,Αυτό το παγκάκι εκει πέρα.,YES,Αυτό το παγκάκι εκει πέρα.,,Εκείνο το παγκάκι εκεί πέρα,,Αυτή η τράπεζα εκεί.,,Εκείνη η τράπεζα.,,Αυτός ο πάγκος εκεί.,,DeepL Next Gen and NLLB's τράπεζα errors are unrelated to English pivoting (English got it right)
ES_EL,40,Polysemous Nouns,foca (seal/stamp),YES,,σφραγίδα (stamp -- wrong sense),Η αρχαία φώκια,NO,Η αρχαία σφραγίδα,1,Η παλιά φώκια,0,Η παλιά φώκια.,0,Η αρχαία φώκιας,0,Το παλιό φώκια,0,NLLB/EuroLLM get the right sense (seal) despite unrelated grammar errors (case/agreement)
ES_EL,49,Personal Pronouns,Tú (gender-neutral),NO,Explicit gender-neutral control case -- divergence is about number/formality (English collapses tú to plural Είστε) not grammatical gender,Είστε καλά.,Εσύ είσαι καλά.,YES,Είσαι καλά.,,Είσαι μια χαρά.,,Είσαι καλά.,,Εσύ είσαι καλά.,,Είσαι εντάξει.,,No gendered morpheme is at stake in this sentence
ES_EL,53,Possessive Pronouns,tuyo (gender-neutral possessive),NO,Explicit gender-neutral control case -- divergence is about formality (σου/σας) not gender,Αυτό το βιβλίο είναι δικό σας.,Αυτό το βιβλίο είναι δικό σου.,YES,Αυτό το βιβλίο είναι δικό σου.,,Αυτό το βιβλίο είναι δικό σου.,,Αυτό το βιβλίο είναι δικό σου.,,Αυτό το βιβλίο είναι δικό σου.,,Αυτό το βιβλίο είναι δικό σου.,,No gendered morpheme is at stake in this sentence
EL_ES,15,Adjectives and Participles,κουρασμένες (fem. pl.),YES,,cansado (masc sing),¿Estáis cansadas del viaje?,NO,¿Estás cansado del viaje?,1,¿Estás cansado del viaje?,1,¿Estáis cansadas del viaje?,0,¿Están cansados por el viaje?,1,¿Están cansadas del viaje?,0,NLLB gets number right (plural) but keeps the masc gender marker matching English; EuroLLM fully correct
