ID,NLLB_Output,NLLB_SelfBackTrans_English,NLLB_SelfScore_English,NLLB_SelfBackTrans_Swedish,NLLB_SelfScore_Swedish,NLLB_SelfBackTrans_Turkish,NLLB_SelfScore_Turkish,NLLB_SelfBackTrans_French,NLLB_SelfScore_French,NLLB_SelfBackTrans_German,NLLB_SelfScore_German,NLLB_SelfBackTrans_Russian,NLLB_SelfScore_Russian,NLLB_SelfBackTrans_Polish,NLLB_SelfScore_Polish,NLLB_SelfBackTrans_Hungarian,NLLB_SelfScore_Hungarian,NLLB_SelfBackTrans_Italian,NLLB_SelfScore_Italian,NLLB_SelfBackTrans_Albanian,NLLB_SelfScore_Albanian,NLLB_SelfBackTrans_Chinese,NLLB_SelfScore_Chinese,NLLB_SelfBackTrans_Japanese,NLLB_SelfScore_Japanese,NLLB_SelfBackTrans_Arabic,NLLB_SelfScore_Arabic,NLLB_SelfBackTrans_Hebrew,NLLB_SelfScore_Hebrew,NLLB_SelfBackTrans_Hindi,NLLB_SelfScore_Hindi,NLLB_SelfBackTrans_Swahili,NLLB_SelfScore_Swahili
1,Estas vienen de Grecia.,Vienen de Grecia.,0,Vienen de Grecia.,0,Vienen de Grecia.,0,Vienen de Grecia.,0,Vienen de Grecia.,0,Ellos vienen de Grecia.,0,Ellos vienen de Grecia.,0,Vienen de Grecia.,0,Vienen de Grecia.,0,Ellos vienen de Grecia.,0,Ellos vienen de Grecia.,0,Ellos vienen de Grecia.,0,Viene de Grecia.,0,Vienen de Grecia.,0,Ellos vienen de Grecia.,0,Ellos vienen de Grecia.,0
2,Ellos trabajaban juntos en la misma empresa.,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Ellos trabajaban juntos en la misma empresa.,1,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Ellos trabajan juntos en la misma empresa.,0,Ellos trabajaban juntos en la misma empresa.,1,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0,Trabajaban juntos en la misma empresa.,0
3,Ellos organizaron el congreso con éxito.,Ellos organizaron la conferencia con éxito.,0,Ellos organizaron la conferencia con éxito.,0,Ellos organizaron la conferencia con éxito.,0,Ellos organizaron la conferencia con éxito.,0,Han organizado la conferencia con éxito.,0,Ellos organizaron una conferencia con éxito.,0,Ellos organizaron una conferencia con éxito.,0,La conferencia fue organizada con éxito.,0,Ellos organizaron la conferencia con éxito.,0,Ellos organizaron la conferencia con éxito.,0,La reunión fue organizada con éxito.,0,Ellos organizaron la reunión con éxito.,0,La conferencia fue un éxito.,0,Ellos organizaron la conferencia con éxito.,0,Él organizó la conferencia con éxito.,0,La reunión fue organizada con éxito.,0
4,Ellos hablaron sobre el cambio climático.,Hablaron sobre el cambio climático.,0,Hablaban del cambio climático.,0,Hablaron sobre el cambio climático.,0,Hablaron del cambio climático.,0,Hablaron sobre el cambio climático.,0,Hablaban del cambio climático.,0,Hablaban del cambio climático.,0,Hablaban del cambio climático.,0,Hablaron del cambio climático.,0,Hablaban del cambio climático.,0,Las mujeres hablan sobre el cambio climático.,0,Ellos hablaron sobre el cambio climático.,1,Hablaron del cambio climático.,0,Hablaban del cambio climático.,0,Habló sobre el cambio climático.,0,Hablaron sobre el cambio climático.,0
5,Esta es la mejor ingeniera.,Este aquí es el mejor ingeniero.,0,Este es el mejor ingeniero.,0,Es el mejor ingeniero.,0,Ella es la mejor ingeniera.,0,Esta es la mejor ingeniera.,1,Ella es la mejor ingeniera.,0,Esta es la mejor ingeniera.,1,Este es el mejor ingeniero.,0,Esta es la mejor ingeniera.,1,Esta es la mejor ingeniera.,1,Este es el mejor ingeniero.,0,Aquí está el mejor ingeniero.,0,Esta aquí es la mejor ingeniera.,0,Esta aquí es la mejor ingeniera.,0,Es el mejor ingeniero de aquí.,0,Este aquí es el mejor ingeniero.,0
6,Esa es la directora del departamento.,Ese de ahí es el director del departamento.,0,Ese es el jefe de departamento.,0,Él es el director del departamento.,0,Ella es la directora del departamento.,0,Esa es la directora de departamento.,0,Esa es la directora del departamento.,1,Esa es la directora del departamento.,1,Ese es el jefe de departamento.,0,Esa es la directora del departamento.,1,Ella es la directora del departamento.,0,Es el director del departamento.,0,Ahí está el director del departamento.,0,Esa de ahí es la directora del departamento.,0,Esa de ahí es la directora del departamento.,0,Ella es la directora del departamento allí.,0,Ese es el director del departamento.,0
7,Estas son las nuevas programadoras.,Estos son los nuevos programadores.,0,Estos son los nuevos programadores.,0,Estos son los nuevos programadores.,0,Estas son las nuevas programadoras.,1,Estas son las nuevas programadoras.,1,Estos son los nuevos programadores.,0,Estas son las nuevas programadoras.,1,Estos son los nuevos programadores.,0,Estas son las nuevas programadoras.,1,Estos son los nuevos programadores.,0,Estos son los nuevos programadores.,0,Aquí están los nuevos programadores.,0,Estas son las nuevas programadoras.,1,Estas son las nuevas programadoras.,1,Estos son los nuevos programadores.,0,Estos son los nuevos programadores.,0
8,Esas de ahí son las investigadoras.,Esos de ahí son los investigadores.,0,Esos son los científicos.,0,Esos son los investigadores.,0,Esas son las investigadoras.,0,Esas de ahí son las investigadoras.,1,Esos son los exploradores.,0,Esas son las investigadoras.,0,Esos son los investigadores.,0,Esas son las investigadoras.,0,Ahí están los buscadores.,0,Esos son los investigadores.,0,Allí están los investigadores.,0,Esos de ahí son las buscadoras.,0,Ahí están los investigadores.,0,Ellos son los investigadores allí.,0,Esos son los investigadores.,0
9,La profesora enseñó la clase con entusiasmo.,El profesor enseñó la lección con entusiasmo.,0,El profesor enseñó la lección con entusiasmo.,0,El profesor enseñó con entusiasmo.,0,La maestra enseñó el curso con entusiasmo.,0,La profesora enseñó la lección con entusiasmo.,0,El profesor dio la clase con entusiasmo.,0,La profesora enseñaba con entusiasmo.,0,El profesor enseñó la lección con entusiasmo.,0,La profesora enseñó la lección con entusiasmo.,0,La profesora enseñó la lección con entusiasmo.,0,El profesor enseña la clase con entusiasmo.,0,El profesor enseñaba con entusiasmo.,0,La profesora enseñó la lección con entusiasmo.,0,La profesora enseñó la clase con entusiasmo.,1,El profesor enseñó con entusiasmo.,0,El profesor enseñaba con entusiasmo.,0
10,Los abogados defendieron el caso.,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron los casos.,0,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1,Los abogados defendieron el caso.,1
