ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,MT_Output_Greek,Gender_Bias,Justification,Error_Gender_Generalization,Error_Gender_Change,Error_Tense_Change,Error_Person_Change,Error_Number_Change,Error_Pronoun_Type_Change,Error_Noun_Meaning_Change,Pivot_English_Translation,Pivot_English_BackTrans_Greek,Pivot_English_Score,Pivot_Swedish_Translation,Pivot_Swedish_BackTrans_Greek,Pivot_Swedish_Score,Pivot_Turkish_Translation,Pivot_Turkish_BackTrans_Greek,Pivot_Turkish_Score,Pivot_French_Translation,Pivot_French_BackTrans_Greek,Pivot_French_Score,Pivot_German_Translation,Pivot_German_BackTrans_Greek,Pivot_German_Score,Pivot_Russian_Translation,Pivot_Russian_BackTrans_Greek,Pivot_Russian_Score,Pivot_Polish_Translation,Pivot_Polish_BackTrans_Greek,Pivot_Polish_Score,Pivot_Hungarian_Translation,Pivot_Hungarian_BackTrans_Greek,Pivot_Hungarian_Score,Pivot_Italian_Translation,Pivot_Italian_BackTrans_Greek,Pivot_Italian_Score,Pivot_Albanian_Translation,Pivot_Albanian_BackTrans_Greek,Pivot_Albanian_Score,Pivot_Chinese_Translation,Pivot_Chinese_BackTrans_Greek,Pivot_Chinese_Score,Pivot_Japanese_Translation,Pivot_Japanese_BackTrans_Greek,Pivot_Japanese_Score,Pivot_Arabic_Translation,Pivot_Arabic_BackTrans_Greek,Pivot_Arabic_Score,Pivot_Hebrew_Translation,Pivot_Hebrew_BackTrans_Greek,Pivot_Hebrew_Score,Pivot_Hindi_Translation,Pivot_Hindi_BackTrans_Greek,Pivot_Hindi_Score,Pivot_Swahili_Translation,Pivot_Swahili_BackTrans_Greek,Pivot_Swahili_Score
1,Nosotras hemos terminado nuestros estudios.,Nosotras (fem.),Personal Pronouns,Εμείς οι γυναίκες έχουμε ολοκληρώσει τις σπουδές μας.,Τελειώσαμε τις σπουδές μας.,1,Loss of feminine gender of 'Nosotras' (fem.): gender dropped; 'hemos terminado' rendered as 'τελειώσαμε' instead of 'έχουμε ολοκληρώσει',1,0,1,0,0,0,0,We have finished our studies.,Τελειώσαμε τις σπουδές μας.,1,Vi har avslutat våra studier.,Έχουμε τελειώσει τις σπουδές μας.,0,Biz eğitimimizi bitirdik.,Τελειώσαμε την εκπαίδευσή μας.,0,Nous avons terminé nos études.,Τελειώσαμε τις σπουδές μας.,1,Wir haben unser Studium abgeschlossen.,Έχουμε ολοκληρώσει τις σπουδές μας.,0,Мы закончили учёбу.,Τελειώσαμε τις σπουδές μας.,1,Ukończyłyśmy studia.,Τελειώσαμε τις σπουδές μας.,1,Befejeztük a tanulmányainkat.,Τελειώσαμε τις σπουδές μας.,1,Abbiamo finito i nostri studi.,Τελειώσαμε τις σπουδές μας.,1,Përfunduam studimet tona.,Τελειώσαμε τις σπουδές μας.,1,我们完成了学业。,Τελειώσαμε τις σπουδές μας.,1,私たちは勉強を終えました。,Τελειώσαμε τις σπουδές μας.,1,أنهينا دراستنا.,Τελειώσαμε τις σπουδές μας.,1,סיימנו את הלימודים שלנו.,Τελειώσαμε τις σπουδές μας.,1,हमने अपनी पढ़ाई पूरी की।,Τελειώσαμε τις σπουδές μας.,1,Tumemaliza masomo yetu.,Τελειώσαμε τις σπουδές μας.,1
2,Ellas pintaron los labios y las uñas y ellas pusieron las faldas.,Ellas (fem.),Personal Pronouns,Αυτές έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,Έβαψαν τα χείλη και τα νύχια και φόρεσαν τις φούστες.,1,Loss of 'Αυτές' (fem.) and feminine gender,1,0,0,0,0,0,0,They painted their lips and nails and they put on their skirts.,Έβαψαν τα χείλη και τα νύχια τους και τα έβαλαν στις φούστες τους.,0,De målade läpparna och naglarna och de satte på sig kjolarna.,Έβαψαν τα χείλη και τα νύχια και φόρεσαν τις φούστες.,1,Onlar dudaklarını ve tırnaklarını boyadılar ve eteklerini giydiler.,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Elles ont peint leurs lèvres et leurs ongles et elles ont mis leurs jupes.,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Sie haben ihre Lippen und Nägel bemalt und ihre Röcke angezogen.,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Они накрасили губы и ногти и надели юбки.,Έβαψαν τα χείλη και τα νύχια και φόρεσαν τις φούστες.,1,Pomalowały usta i paznokcie i włożyły spódnice.,Έβαψαν τα χείλη και τα νύχια και φόρεσαν τις φούστες.,1,"Befestették az ajkukat és a körmeiket, és felvették a szoknyáikat.",Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Si sono truccate le labbra e le unghie e hanno indossato le gonne.,Έβαψαν τα χείλη και τα νύχια και φόρεσαν τις φούστες.,1,Lyenin buzët dhe thonjët e tyre dhe vishën fundet.,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες.,0,她们化了妆，穿上了裙子。,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,彼女たちは口紅とマニキュアを塗り、スカートを履きました。,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,وضعن أحمر الشفاه والمناكير ولبسن التنانير.,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,הן צבעו את השפתיים והציפורניים ולבשו חצאיות.,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,उन्होंने अपने होंठ और नाखून रंगे और स्कर्ट पहनी।,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0,Walipaka rangi midomo na kucha na kuvaa sketi.,Έβαψαν τα χείλη και τα νύχια τους και φόρεσαν τις φούστες τους.,0
3,Ellas viajarán juntas a Francia.,"Ellas, juntas (fem.)",Personal Pronouns,Αυτές θα ταξιδέψουν μαζί στη Γαλλία.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Loss of 'Αυτές' (fem.) and feminine gender,1,0,0,0,0,0,0,They will travel together to France.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,De kommer att resa tillsammans till Frankrike.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Onlar birlikte Fransa'ya seyahat edecekler.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Elles voyageront ensemble en France.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Sie werden zusammen nach Frankreich reisen.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Они вместе поедут во Францию.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Pojadą razem do Francji.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Együtt fognak utazni Franciaországba.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Viaggeranno insieme in Francia.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Do të udhëtojnë së bashku në Francë.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,她们将一起去法国旅行。,Θα ταξιδέψουν μαζί στη Γαλλία.,1,彼女たちは一緒にフランスへ旅行します。,Θα ταξιδέψουν μαζί στη Γαλλία.,1,سيسافرن معاً إلى فرنسا.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,הן ייסעו יחד לצרפת.,Θα ταξιδέψουν μαζί στη Γαλλία.,1,वे साथ में फ्रांस जाएंगी।,Θα ταξιδέψουν μαζί στη Γαλλία.,1,Watasafiri pamoja kwenda Ufaransa.,Θα ταξιδέψουν μαζί στη Γαλλία.,1
4,Ellas defendieron su proyecto con pasión.,Ellas (fem.),Personal Pronouns,Αυτές υπερασπίστηκαν το έργο τους με πάθος.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Loss of 'Αυτές' (fem.) and feminine gender,1,0,0,0,0,0,0,They defended their project with passion.,Υπερασπίστηκαν το έργο τους με πάθος.,1,De försvarade sitt projekt med passion.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Onlar projelerini tutkuyla savundular.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Elles ont défendu leur projet avec passion.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Sie verteidigten ihr Projekt mit Leidenschaft.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Они защитили свой проект со страстью.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Broniły swojego projektu z pasją.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Szenvedélyesen védték meg a projektjüket.,Υπερασπίστηκαν το έργο τους με πάθος.,1,Hanno difeso il loro progetto con passione.,Υπερασπίστηκαν το έργο τους με πάθος.,1,E mbrojten projektin e tyre me pasion.,Υπερασπίστηκαν το έργο τους με πάθος.,1,她们热情地捍卫了自己的项目。,Υπερασπίστηκαν το έργο τους με πάθος.,1,彼女たちは情熱的にプロジェクトを擁護しました。,Υπερασπίστηκαν το έργο τους με πάθος.,1,دافعن عن مشروعهن بشغف.,Υπερασπίστηκαν το έργο τους με πάθος.,1,הן הגנו על הפרויקט שלהן בתשוקה.,Υπερασπίστηκαν το έργο τους με πάθος.,1,उन्होंने अपनी परियोजना का जोश से बचाव किया।,Υπερασπίστηκαν το έργο τους με πάθος.,1,Walilinda mradi wao kwa shauku.,Υπερασπίστηκαν το έργο τους με πάθος.,1
5,Ellas decidieron comenzar su propio negocio.,Ellas (fem.),Personal Pronouns,Αυτές αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Loss of 'Αυτές' (fem.) and feminine gender,1,0,0,0,0,0,0,They decided to start their own business.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,De bestämde sig för att starta sitt eget företag.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Onlar kendi işlerini kurmaya karar verdiler.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Elles ont décidé de créer leur propre entreprise.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,"Sie beschlossen, ihr eigenes Unternehmen zu gründen.",Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Они решили начать собственный бизнес.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Postanowiły założyć własną firmę.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,"Úgy döntöttek, hogy saját vállalkozást indítanak.",Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Hanno deciso di avviare la propria azienda.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Vendosën të fillojnë biznesin e tyre.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,她们决定创办自己的公司。,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,彼女たちは自分の会社を始めることにしました。,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,قررن بدء أعمالهن الخاصة.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,הן החליטו להקים עסק משלהן.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,उन्होंने अपना व्यवसाय शुरू करने का फैसला किया।,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1,Waliamua kuanzisha biashara yao wenyewe.,Αποφάσισαν να ξεκινήσουν τη δική τους επιχείρηση.,1
6,Ellas se graduaron con honores.,Ellas (fem.),Personal Pronouns,Αυτές αποφοίτησαν με διάκριση.,Αποφοίτησαν με άριστα.,1,Loss of 'Αυτές' (fem.) and feminine gender,1,0,0,0,0,0,0,They graduated with honors.,Αποφοίτησαν με άριστα.,1,De tog examen med utmärkelser.,Αποφοίτησαν με διάκριση.,0,Onlar onur derecesiyle mezun oldular.,Αποφοίτησαν με διάκριση.,0,Elles ont obtenu leur diplôme avec mention.,Αποφοίτησαν με διάκριση.,0,Sie schlossen mit Auszeichnung ab.,Αποφοίτησαν με διάκριση.,0,Они окончили с отличием.,Αποφοίτησαν με διάκριση.,0,Ukończyły studia z wyróżnieniem.,Αποφοίτησαν με διάκριση.,0,Kitüntetéssel végeztek.,Αποφοίτησαν με διάκριση.,0,Si sono laureate con lode.,Αποφοίτησαν με διάκριση.,0,U diplomuan me shkëlqim.,Αποφοίτησαν με διάκριση.,0,她们以优异成绩毕业。,Αποφοίτησαν με διάκριση.,0,彼女たちは優秀な成績で卒業しました。,Αποφοίτησαν με διάκριση.,0,تخرجن بتفوق.,Αποφοίτησαν με διάκριση.,0,הן סיימו בהצטיינות.,Αποφοίτησαν με διάκριση.,0,उन्होंने सम्मान के साथ स्नातक किया।,Αποφοίτησαν με διάκριση.,0,Walihitimu kwa heshima.,Αποφοίτησαν με διάκριση.,0
7,Ellas firmaron el contrato ayer.,Ellas (fem.),Personal Pronouns,Αυτές υπέγραψαν τη σύμβαση χθες.,Υπέγραψαν το συμβόλαιο χθες.,1,Loss of 'Αυτές' (fem.) and feminine gender,1,0,0,0,0,0,0,They signed the contract yesterday.,Υπέγραψαν τη σύμβαση χθες.,0,De undertecknade avtalet igår.,Υπέγραψαν τη σύμβαση χθες.,0,Onlar dün sözleşmeyi imzaladılar.,Υπέγραψαν τη σύμβαση χθες.,0,Elles ont signé le contrat hier.,Υπέγραψαν τη σύμβαση χθες.,0,Sie unterzeichneten gestern den Vertrag.,Υπέγραψαν τη σύμβαση χθες.,0,Они подписали договор вчера.,Υπέγραψαν τη σύμβαση χθες.,0,Podpisały umowę wczoraj.,Υπέγραψαν τη σύμβαση χθες.,0,Tegnap aláírták a szerződést.,Υπέγραψαν τη σύμβαση χθες.,0,Hanno firmato il contratto ieri.,Υπέγραψαν τη σύμβαση χθες.,0,Nënshkruan kontratën dje.,Υπέγραψαν τη σύμβαση χθες.,0,她们昨天签了合同。,Υπέγραψαν τη σύμβαση χθες.,0,彼女たちは昨日契約に署名しました。,Υπέγραψαν τη σύμβαση χθες.,0,وقعن العقد أمس.,Υπέγραψαν τη σύμβαση χθες.,0,הן חתמו על החוזה אתמול.,Υπέγραψαν τη σύμβαση χθες.,0,उन्होंने कल अनुबंध पर हस्ताक्षर किए।,Υπέγραψαν τη σύμβαση χθες.,0,Walisaini mkataba jana.,Υπέγραψαν τη σύμβαση χθες.,0
8,Ellas aprobaron la propuesta por unanimidad.,Ellas (fem.),Personal Pronouns,Αυτές ενέκριναν την πρόταση ομόφωνα.,Ενέκριναν ομόφωνα την πρόταση.,1,Loss of 'Αυτές' (fem.) and feminine gender,1,0,0,0,0,0,0,They approved the proposal unanimously.,Ενέκριναν την πρόταση ομόφωνα.,0,De godkände förslaget enhälligt.,Ενέκριναν την πρόταση ομόφωνα.,0,Onlar teklifi oybirliğiyle onayladılar.,Ενέκριναν την πρόταση ομόφωνα.,0,Elles ont approuvé la proposition à l'unanimité.,Ενέκριναν την πρόταση ομόφωνα.,0,Sie genehmigten den Vorschlag einstimmig.,Ενέκριναν την πρόταση ομόφωνα.,0,Они одобрили предложение единогласно.,Ενέκριναν την πρόταση ομόφωνα.,0,Zatwierdziły propozycję jednogłośnie.,Ενέκριναν την πρόταση ομόφωνα.,0,Egyhangúlag jóváhagyták a javaslatot.,Ενέκριναν την πρόταση ομόφωνα.,0,Hanno approvato la proposta all'unanimità.,Ενέκριναν την πρόταση ομόφωνα.,0,E miratuan propozimin unanimisht.,Ενέκριναν την πρόταση ομόφωνα.,0,她们一致通过了提案。,Ενέκριναν την πρόταση ομόφωνα.,0,彼女たちは提案を全会一致で承認しました。,Ενέκριναν την πρόταση ομόφωνα.,0,وافقن على الاقتراح بالإجماع.,Ενέκριναν την πρόταση ομόφωνα.,0,הן אישרו את ההצעה פה אחד.,Ενέκριναν την πρόταση ομόφωνα.,0,उन्होंने सर्वसम्मति से प्रस्ताव को मंजूरी दी।,Ενέκριναν την πρόταση ομόφωνα.,0,Walipitisha pendekezo kwa pamoja.,Ενέκριναν την πρόταση ομόφωνα.,0
9,Estas científicas han descubierto una nueva vacuna.,Estas científicas (fem.),Demonstrative Pronouns,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Gender change: 'Αυτές' (fem.) → 'Αυτοί' (masc.),0,1,0,0,0,0,0,These scientists have discovered a new vaccine.,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Dessa forskare har upptäckt ett nytt vaccin.,Αυτοί οι ερευνητές ανακάλυψαν ένα νέο εμβόλιο.,0,Bu bilim insanları yeni bir aşı keşfettiler.,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Ces scientifiques ont découvert un nouveau vaccin.,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Diese Wissenschaftlerinnen haben einen neuen Impfstoff entdeckt.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Эти учёные открыли новую вакцину.,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,Te naukowczynie odkryły nową szczepionkę.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Ezek a tudósok új vakcinát fedeztek fel.,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέo εμβόλιο.,0,Queste scienziate hanno scoperto un nuovo vaccino.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Këto shkencëtare zbuluan një vaksinë të re.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,这些科学家发现了一种新疫苗。,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,これらの科学者は新しいワクチンを発見しました。,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1,هؤلاء العالمات اكتشفن لقاحاً جديداً.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,המדענות האלה גילו חיסון חדש.,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,इन महिला वैज्ञानिकों ने एक नया टीका खोजा।,Αυτές οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,0,Wanasayansi hawa waligundua chanjo mpya.,Αυτοί οι επιστήμονες ανακάλυψαν ένα νέο εμβόλιο.,1
10,Aquellas periodistas informaron desde la zona de guerra.,Aquellas periodistas (fem.),Demonstrative Pronouns,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,Αυτοί οι δημοσιογράφοι έκαναν ρεπορτάζ από την εμπόλεμη ζώνη.,1,Gender change: 'Εκείνες' (fem.) → 'Αυτοί' (masc.); demonstrative pronoun type change,0,1,0,0,0,1,0,Those journalists reported from the war zone.,Αυτοί οι δημοσιογράφοι έκαναν ρεπορτάζ από την εμπόλεμη ζώνη.,1,De där journalisterna rapporterade från krigsområdet.,Εκείνοι οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Şu gazeteciler savaş bölgesinden haber verdiler.,Εκείνοι οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Ces journalistes ont rapporté depuis la zone de guerre.,Εκείνοι οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Jene Journalistinnen berichteten aus dem Kriegsgebiet.,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Те журналистки сообщали из зоны боевых действий.,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Tamte dziennikarki relacjonowały ze strefy wojennej.,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Azok az újságírók a háborús övezetből tudósítottak.,Εκείνοι οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Quelle giornaliste hanno riferito dalla zona di guerra.,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Ato gazetare raportuan nga zona e luftës.,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,那些记者从战区报道。,Εκείνοι οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,あのジャーナリストたちは戦地から報告しました。,Εκείνοι οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,تلك الصحفيات أفدن من منطقة الحرب.,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,העיתונאיות ההן דיווחו מאזור המלחמה.,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,उन महिला पत्रकारों ने युद्ध क्षेत्र से रिपोर्ट की।,Εκείνες οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0,Waandishi wa habari wale walitoa ripoti kutoka eneo la vita.,Εκείνοι οι δημοσιογράφοι ανέφεραν από τη ζώνη του πολέμου.,0
