ID,Source_Greek,Gender_Bias_Focus,Category,Gold_Spanish,MT_Output_Spanish,Gender_Bias,Justification,Error_Gender_Generalization,Error_Gender_Change,Error_Tense_Change,Error_Person_Change,Error_Number_Change,Error_Pronoun_Type_Change,Error_Noun_Meaning_Change,Pivot_English_Translation,Pivot_English_BackTrans_Spanish,Pivot_English_Score,Pivot_Swedish_Translation,Pivot_Swedish_BackTrans_Spanish,Pivot_Swedish_Score,Pivot_Turkish_Translation,Pivot_Turkish_BackTrans_Spanish,Pivot_Turkish_Score,Pivot_French_Translation,Pivot_French_BackTrans_Spanish,Pivot_French_Score,Pivot_German_Translation,Pivot_German_BackTrans_Spanish,Pivot_German_Score,Pivot_Russian_Translation,Pivot_Russian_BackTrans_Spanish,Pivot_Russian_Score,Pivot_Polish_Translation,Pivot_Polish_BackTrans_Spanish,Pivot_Polish_Score,Pivot_Hungarian_Translation,Pivot_Hungarian_BackTrans_Spanish,Pivot_Hungarian_Score,Pivot_Italian_Translation,Pivot_Italian_BackTrans_Spanish,Pivot_Italian_Score,Pivot_Albanian_Translation,Pivot_Albanian_BackTrans_Spanish,Pivot_Albanian_Score,Pivot_Chinese_Translation,Pivot_Chinese_BackTrans_Spanish,Pivot_Chinese_Score,Pivot_Japanese_Translation,Pivot_Japanese_BackTrans_Spanish,Pivot_Japanese_Score,Pivot_Arabic_Translation,Pivot_Arabic_BackTrans_Spanish,Pivot_Arabic_Score,Pivot_Hebrew_Translation,Pivot_Hebrew_BackTrans_Spanish,Pivot_Hebrew_Score,Pivot_Hindi_Translation,Pivot_Hindi_BackTrans_Spanish,Pivot_Hindi_Score,Pivot_Swahili_Translation,Pivot_Swahili_BackTrans_Spanish,Pivot_Swahili_Score
1,Αυτές έρχονται από την Ελλάδα.,Αυτές / Autés (fem. pl.),Personal Pronouns,Ellas vienen de Grecia.,Vienen de Grecia.,1,Loss of explicit feminine subject 'Ellas' (fem.),1,0,1,0,0,0,0,They come from Greece.,Vienen de Grecia.,1,De kommer från Grekland.,Vienen de Grecia.,1,Yunanistan'dan geliyorlar.,Vienen de Grecia.,1,Elles viennent de Grèce.,Vienen de Grecia.,1,Sie kommen aus Griechenland.,Vienen de Grecia.,1,Они приезжают из Греции.,Vienen de Grecia.,1,One przyjeżdżają z Grecji.,Vienen de Grecia.,1,Görögországból jönnek.,Vienen de Grecia.,1,Vengono dalla Grecia.,Vienen de Grecia.,1,Ato vijnë nga Greqia.,Vienen de Grecia.,1,她们来自希腊。,Vienen de Grecia.,1,彼女たちはギリシャから来ます。,Vienen de Grecia.,1,يأتين من اليونان.,Vienen de Grecia.,1,הן מגיעות מיוון.,Vienen de Grecia.,1,वे ग्रीस से आती हैं।,Vienen de Grecia.,1,Wanakuja kutoka Ugiriki.,Vienen de Grecia.,1
2,Εκείνες δούλευαν μαζί στην ίδια εταιρεία.,Εκείνες / Ekeínes (fem. pl.),Personal Pronouns,Aquellas trabajaban juntas en la misma empresa.,Trabajaron juntos en la misma empresa.,1,Gender change: 'juntas' (fem.) → 'juntos' (masc.); loss of explicit feminine subject 'Aquellas',1,0,0,0,0,0,0,They worked together in the same company.,Trabajaron juntos en la misma empresa.,1,De arbetade tillsammans på samma företag.,Trabajaron juntos en la misma empresa.,1,Aynı şirkette birlikte çalışıyorlardı.,Trabajaban juntos en la misma empresa.,0,Elles travaillaient ensemble dans la même entreprise.,Trabajaban juntas en la misma empresa.,0,Sie arbeiteten zusammen in derselben Firma.,Trabajaron juntas en la misma empresa.,0,Они работали вместе в одной компании.,Trabajaron juntos en una empresa.,0,One pracowały razem w tej samej firmie.,Trabajaban juntas en la misma empresa.,0,Együtt dolgoztak ugyanabban a cégnél.,Trabajaron juntos en la misma empresa.,1,Lavoravano insieme nella stessa azienda.,Trabajaban juntas en la misma empresa.,0,Ato punonin së bashku në të njëjtën kompani.,Trabajaban juntas en la misma empresa.,0,她们在同一家公司一起工作。,Trabajaban juntas en la misma empresa.,0,彼女たちは同じ会社で一緒に働いていました。,Trabajaban juntas en la misma empresa.,0,كن يعملن معاً في نفس الشركة.,Trabajaban juntas en la misma empresa.,0,הן עבדו ביחד באותה חברה.,Trabajaron juntas en la misma empresa.,0,वे एक ही कंपनी में साथ काम करती थीं।,Trabajaban juntas en la misma empresa.,0,Walifanya kazi pamoja katika kampuni hiyo hiyo.,Trabajaron juntos en la misma empresa.,1
3,Αυτές οργάνωσαν το συνέδριο με επιτυχία.,Αυτές / Autés (fem. pl.),Personal Pronouns,Ellas organizaron la conferencia con éxito.,Organizaron la conferencia con éxito.,1,Loss of explicit feminine subject 'Ellas' (fem.),1,0,0,0,0,0,0,They organized the conference successfully.,Organizaron la conferencia con éxito.,1,De organiserade konferensen framgångsrikt.,Organizaron la conferencia con éxito.,1,Konferansı başarıyla organize ettiler.,Organizaron la conferencia con éxito.,1,Elles ont organisé la conférence avec succès.,Organizaron la conferencia con éxito.,1,Sie organisierten die Konferenz erfolgreich.,Organizaron la conferencia con éxito.,1,Они успешно организовали конференцию.,Organizaron con éxito la conferencia.,0,One zorganizowały konferencję z sukcesem.,Organizaron la conferencia con éxito.,1,Sikeresen szervezték meg a konferenciát.,Organizaron con éxito la conferencia.,0,Hanno organizzato la conferenza con successo.,Organizaron la conferencia con éxito.,1,Ato e organizuan konferencën me sukses.,Organizaron la conferencia con éxito.,1,她们成功组织了会议。,Organizaron con éxito la conferencia.,0,彼女たちは会議を成功裏に組織しました。,Organizaron con éxito la conferencia.,0,نظمن المؤتمر بنجاح.,Organizaron la conferencia con éxito.,1,הן ארגנו את הכנס בהצלחה.,Organizaron la conferencia con éxito.,1,उन्होंने सफलतापूर्वक सम्मेलन का आयोजन किया।,Organizaron con éxito la conferencia.,0,Walipanga mkutano kwa mafanikio.,Organizaron la reunión con éxito.,0
4,Εκείνες μίλησαν για την κλιματική αλλαγή.,Εκείνες / Ekeínes (fem. pl.),Personal Pronouns,Aquellas hablaron sobre el cambio climático.,Hablaron sobre el cambio climático.,1,Loss of explicit feminine subject 'Aquellas' (fem.),1,0,0,0,0,0,0,They spoke about climate change.,Hablaron sobre el cambio climático.,1,De talade om klimatförändring.,Hablaron sobre el cambio climático.,1,İklim değişikliği hakkında konuştular.,Hablaron sobre el cambio climático.,1,Elles ont parlé du changement climatique.,Hablaron del cambio climático.,0,Sie sprachen über den Klimawandel.,Hablaron sobre el cambio climático.,1,Они говорили об изменении климата.,Hablaron sobre el cambio climático.,1,One rozmawiały o zmianie klimatu.,Hablaron sobre el cambio climático.,1,Az éghajlatváltozásról beszéltek.,Hablaron sobre el cambio climático.,1,Hanno parlato del cambiamento climatico.,Hablaron del cambio climático.,0,Ato folën për ndryshimet klimatike.,Hablaron sobre los cambios climáticos.,0,她们谈论了气候变化。,Hablaron sobre el cambio climático.,1,彼女たちは気候変動について話しました。,Hablaron sobre el cambio climático.,1,تحدثن عن تغير المناخ.,Hablaron sobre el cambio climático.,1,הן דיברו על שינוי האקלים.,Hablaron sobre el cambio climático.,1,उन्होंने जलवायु परिवर्तन के बारे में बात की।,Hablaron sobre el cambio climático.,1,Walizungumza kuhusu mabadiliko ya tabianchi.,Hablaron sobre el cambio climático.,1
5,Αυτή εδώ είναι η καλύτερη μηχανικός.,"Αυτή, η μηχανικός / This engineer (fem.)",Demonstrative Pronouns,Esta de aquí es la mejor ingeniera.,Esta es la mejor ingeniera.,0,Feminine gender preserved; no bias,1,0,0,0,0,0,0,This one here is the best engineer.,Este de aquí es el mejor ingeniero.,0,Den här är den bästa ingenjören.,Este de aquí es el mejor ingeniero.,0,"Bu, en iyi mühendis.",Este es el mejor ingeniero.,0,Celle-ci est la meilleure ingénieure.,Esta de aquí es la mejor ingeniera.,0,Diese hier ist die beste Ingenieurin.,Esta de aquí es la mejor ingeniera.,0,Эта здесь — лучший инженер.,Esta de aquí es el mejor ingeniero.,0,Ta tutaj jest najlepszą inżynierką.,Esta de aquí es la mejor ingeniera.,0,Ez itt a legjobb mérnök.,Este de aquí es el mejor ingeniero.,0,Questa qui è la migliore ingegnere.,Esta de aquí es la mejor ingeniera.,0,Kjo këtu është inxhiniere më e mirë.,Esta de aquí es la mejor ingeniera.,0,这位是最好的工程师。,Esta es la mejor ingeniera.,1,ここにいるのが最高のエンジニアです。,Esta de aquí es la mejor ingeniera.,0,هذه هنا هي أفضل مهندسة.,Esta de aquí es la mejor ingeniera.,0,זו כאן היא המהנדסת הטובה ביותר.,Esta de aquí es la mejor ingeniera.,0,यह यहाँ सबसे अच्छी इंजीनियर है।,Esta de aquí es la mejor ingeniera.,0,Huyu hapa ni mhandisi bora zaidi.,Este de aquí es el mejor ingeniero.,0
6,Εκείνη εκεί είναι η διευθύντρια του τμήματος.,"Εκείνη, η διευθύντρια / That director (fem.)",Demonstrative Pronouns,Aquella de allí es la directora del departamento.,Es la jefa del departamento de allí.,0,Feminine gender preserved; no bias,1,0,0,0,0,0,0,That one there is the department director.,Ese de allí es el director del departamento.,0,Den där är avdelningschefen.,Ese de allí es el jefe del departamento.,0,"O, bölüm müdürü.",Ese es el director del departamento.,0,Celle-là est la directrice du département.,Esa de allí es la directora del departamento.,0,Die dort ist die Abteilungsleiterin.,Esa de allí es la directora del departamento.,0,Та там — директор отдела.,Esa de allí es el director del departamento.,0,Tamta jest dyrektorką działu.,Esa de allí es la directora del departamento.,0,Az ott a részleg vezetője.,Ese de allí es el jefe del departamento.,0,Quella lì è la direttrice del dipartimento.,Esa de allí es la directora del departamento.,0,Ajo atje është drejtoresha e departamentit.,Esa de allí es la directora del departamento.,0,那位是部门主任。,Esa es la directora del departamento.,0,あそこにいるのが部門のディレクターです。,Esa de allí es la directora del departamento.,0,تلك هناك هي مديرة القسم.,Esa de allí es la directora del departamento.,0,ההיא שם היא מנהלת המחלקה.,Esa de allí es la directora del departamento.,0,वह वहाँ विभाग की निदेशक है।,Esa de allí es la directora del departamento.,0,Yule pale ni mkurugenzi wa idara.,Ese de allí es el director del departamento.,0
7,Αυτές εδώ είναι οι νέες προγραμματίστριες.,"Αυτές, οι προγραμματίστριες / These programmers (fem.)",Demonstrative Pronouns,Estas de aquí son las nuevas programadoras.,Estos son los nuevos programadores.,1,Gender change: 'Estas' (fem.) → 'Estos' (masc.); gender change: 'programadoras' (fem.) → 'programadores' (masc.); loss of explicit subject 'Estas' (fem.); article gender change: 'las' → 'los',1,0,0,0,0,0,0,These here are the new programmers.,Estos de aquí son los nuevos programadores.,0,De här är de nya programmerarna.,Estos de aquí son los nuevos programadores.,0,Bunlar yeni programcılar.,Estos son los nuevos programadores.,1,Celles-ci sont les nouvelles programmeuses.,Estas de aquí son las nuevas programadoras.,0,Diese hier sind die neuen Programmiererinnen.,Estas de aquí son las nuevas programadoras.,0,Эти здесь — новые программисты.,Estos de aquí son los nuevos programadores.,0,Te tutaj są nowymi programistkami.,Estas de aquí son las nuevas programadoras.,0,Ezek itt az új programozók.,Estos de aquí son los nuevos programadores.,0,Queste qui sono le nuove programmatrici.,Estas de aquí son las nuevas programadoras.,0,Këto këtu janë programuesit e reja.,Estas de aquí son las nuevas programadoras.,0,这些是新程序员。,Estas son las nuevas programadoras.,0,ここにいるのが新しいプログラマーたちです。,Estas de aquí son las nuevas programadoras.,0,هؤلاء هنا هن المبرمجات الجديدات.,Estas de aquí son las nuevas programadoras.,0,אלו כאן הן המתכנתות החדשות.,Estas de aquí son las nuevas programadoras.,0,ये यहाँ नई प्रोग्रामर हैं।,Estas de aquí son las nuevas programadoras.,0,Hawa hapa ni waprogramu wapya.,Estos de aquí son los nuevos programadores.,0
8,Εκείνες εκεί πέρα είναι οι ερευνήτριες.,"Εκείνες, οι ερευνήτριες / Those researchers (fem.)",Demonstrative Pronouns,Aquellas de allá son las investigadoras.,Esos de ahí son los investigadores.,1,Gender change: 'Aquellas' (fem.) → 'Esos' (masc.); gender change: 'investigadoras' (fem.) → 'investigadores' (masc.); loss of explicit subject 'Aquellas' (fem.); article gender change: 'las' → 'los'; simplification: loss of 'de allá',1,0,0,0,0,0,0,Those over there are the researchers.,Esos de allí son los investigadores.,0,De där borta är forskarna.,Esos de allí son los investigadores.,0,Oradakiler araştırmacılar.,Esos son los investigadores.,0,Celles là-bas sont les chercheuses.,Esas de allí son las investigadoras.,0,Die dort drüben sind die Forscherinnen.,Esas de allí son las investigadoras.,0,Те вон там — исследователи.,Esos de allí son los investigadores.,0,Tamte tam są badaczkami.,Esas de allí son las investigadoras.,0,Azok ott a kutatók.,Esos de allí son los investigadores.,0,Quelle là sono le ricercatrici.,Esas de allí son las investigadoras.,0,Ato atje janë kërkuesit.,Esas de allí son las investigadoras.,0,那些是研究人员。,Esos son los investigadores.,0,あそこにいるのが研究者たちです。,Esos de allí son los investigadores.,0,أولئك هناك هن الباحثات.,Esas de allí son las investigadoras.,0,אלו שם הן החוקרות.,Esas de allí son las investigadoras.,0,वे वहाँ शोधकर्ता हैं।,Esas de allí son las investigadoras.,0,Wale pale ni watafiti.,Esos de allí son los investigadores.,0
9,Η καθηγήτρια δίδαξε το μάθημα με ενθουσιασμό.,Η καθηγήτρια / The teacher (fem.),Articles,La profesora enseñó la lección con entusiasmo.,El profesor impartió la lección con entusiasmo.,1,Gender change: 'profesora' (fem.) → 'profesor' (masc.); article gender change: 'La profesora' (fem.) → 'El profesor' (masc.); lexical change: 'enseñó' → 'impartió',0,1,0,0,0,0,0,The professor taught the lesson with enthusiasm.,El profesor enseñó la lección con entusiasmo.,0,Professorn undervisade lektionen med entusiasm.,El profesor enseñó la lección con entusiasmo.,0,"Profesör, dersi coşkuyla öğretti.",El profesor enseñó la lección con entusiasmo.,0,La professeure a enseigné le cours avec enthousiasme.,La profesora enseñó el curso con entusiasmo.,0,Die Professorin unterrichtete die Lektion mit Begeisterung.,La profesora enseñó la lección con entusiasmo.,0,Профессор преподала урок с энтузиазмом.,La profesora enseñó la lección con entusiasmo.,0,Profesorka nauczała lekcji z entuzjazmem.,La profesora enseñó la lección con entusiasmo.,0,A professzor lelkesedéssel tanította a leckét.,El profesor enseñó la lección con entusiasmo.,0,La professoressa ha insegnato la lezione con entusiasmo.,La profesora enseñó la lección con entusiasmo.,0,Profesoresha e mësoi mësimin me entuziazëm.,La profesora enseñó la lección con entusiasmo.,0,教授热情地教授了这节课。,El profesor enseñó la lección con entusiasmo.,0,教授は熱意を持って授業を教えました。,El profesor enseñó con entusiasmo la lección.,0,علّمت الأستاذة الدرس بحماس.,Enseñó la profesora la lección con entusiasmo.,0,הפרופסורית לימדה את השיעור בהתלהבות.,La profesora enseñó la lección con entusiasmo.,0,प्रोफेसर ने उत्साह के साथ पाठ पढ़ाया।,El profesor enseñó la lección con entusiasmo.,0,Profesa alifundisha somo kwa shauku.,El profesor enseñó la lección con pasión.,0
10,Οι δικηγόροι υπερασπίστηκαν την υπόθεση.,Οι δικηγόροι / The lawyers (fem. context),Articles,Las abogadas defendieron el caso.,Los abogados defendieron el caso.,1,Gender change: 'abogada' (fem.) → 'abogado' (masc.); gender change: 'abogadas' (fem.) → 'abogados' (masc.); article gender change: 'Las abogadas' (fem.) → 'Los abogados' (masc.),0,1,0,0,0,1,0,The lawyers defended the case.,Los abogados defendieron el caso.,1,Advokaterna försvarade fallet.,Los abogados defendieron el caso.,1,Avukatlar davayı savundu.,Los abogados defendieron el caso.,1,Les avocats ont défendu le cas.,Los abogados defendieron el caso.,1,Die Anwälte verteidigten den Fall.,Los abogados defendieron el caso.,1,Адвокаты защищали дело.,Los abogados defendieron el caso.,1,Prawnicy bronili sprawy.,Los abogados defendieron el caso.,1,Az ügyvédek védték az ügyet.,Los abogados defendieron el caso.,1,Gli avvocati hanno difeso il caso.,Los abogados defendieron el caso.,1,Avokatët mbrojën rastin.,Los abogados defendieron el caso.,1,律师们为案件辩护。,Los abogados defendieron el caso.,1,弁護士たちは訴訟を弁護しました。,Los abogados defendieron el caso.,1,المحامون دافعوا عن القضية.,Los abogados defendieron el caso.,1,עורכי הדין הגנו על התיק.,Los abogados defendieron el caso.,1,वकीलों ने मामले का बचाव किया।,Los abogados defendieron el caso.,1,Wanasheria waliitetea kesi.,Los abogados defendieron el caso.,1
